search term, name, url, phone, address, neighborhood, rating
1760,1760,http://www.yelp.com/biz/1760-san-francisco,415.359.1212,1760 Polk St San Francisco CA 94109 ,Nob Hill,4.0,
Gamine,Gamine,http://www.yelp.com/biz/gamine-san-francisco,415.771.7771,2223 Union St San Francisco CA 94123 ,Marina/Cow Hollow,4.0,
Stones Throw,Stones Throw,http://www.yelp.com/biz/stones-throw-san-francisco-2,415.796.2901,1896 Hyde St San Francisco CA 94109 ,Russian Hill,4.5,
Nopa,Nopa,http://www.yelp.com/biz/nopa-san-francisco,415.864.8643,560 Divisadero St San Francisco CA 94117 ,Alamo Square,4.0,
Academy Bar Kitchen,Academy Bar & Kitchen,http://www.yelp.com/biz/academy-bar-and-kitchen-san-francisco,415.775.1800,1800 Fillmore St San Francisco CA 94115 ,Japantown,4.0,
The brick yard restaurant and bar,The Brick Yard Restaurant & Bar,http://www.yelp.com/biz/the-brick-yard-restaurant-and-bar-san-francisco,415.400.4712,1787 Union St San Francisco CA 94123 ,Marina/Cow Hollow,4.0,
Causwells,Causwells,http://www.yelp.com/biz/causwells-san-francisco-5,415.447.6081,2346 Chestnut St San Francisco CA 94123 ,Marina/Cow Hollow,4.5,
bitters bock and rye,Bitters Bock & Rye,http://www.yelp.com/biz/bitters-bock-and-rye-san-francisco,415.440.4490,1117 Polk St San Francisco CA 94109 ,Lower Nob Hill,3.5,
absinthe-brasserie-and-bar,Absinthe Brasserie & Bar,http://www.yelp.com/biz/absinthe-brasserie-and-bar-san-francisco-2,415.551.1590,398 Hayes St San Francisco CA 94102 ,Hayes Valley,4.0,
Lord Stanley,Lord Stanley,http://www.yelp.com/biz/lord-stanley-san-francisco,415.872.5512,2065 Polk St San Francisco CA 94109 ,Nob Hill,4.0,
